"Comment", "Designator", "Footprint"
"Conn_01x03_Socket", "J3,J4", "Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_CircularHoles"
"SW_Push", "SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13", "Button_Switch_Keyboard:SW_Cherry_MX_1.00u_Plate"
